biolink:related_to || related to || This relationship holds between p and l when p is a transport or localization process in which the outcome is to move some cargo c from a an initial location to some destination l.
biolink:increases_hydrolysis_NEG || increases hydrolysis NEG || does not cause increased degradation
biolink:increases_hydrolysis_NEG || increases hydrolysis NEG || does not increase hydrolysis
biolink:decreases_degradation_of_NEG || decreases degradation of NEG || does not cause decreased degradation
biolink:decreases_degradation_of_NEG || decreases degradation of NEG || does not decrease degradation of
biolink:decreases_cleavage_NEG || decreases cleavage NEG || does not cause decreased degradation
biolink:decreases_cleavage_NEG || decreases cleavage NEG || does not decrease cleavage
biolink:decreases_hydrolysis_NEG || decreases hydrolysis NEG || does not cause decreased degradation
biolink:decreases_hydrolysis_NEG || decreases hydrolysis NEG || does not decrease hydrolysis
biolink:affects_secretion_of_NEG || affects secretion of NEG || does not affect secretion of
biolink:increases_secretion_of_NEG || increases secretion of NEG || does not cause increased secretion
biolink:increases_secretion_of_NEG || increases secretion of NEG || does not increase secretion of
biolink:decreases_secretion_of_NEG || decreases secretion of NEG || does not cause decreased secretion
biolink:decreases_secretion_of_NEG || decreases secretion of NEG || does not decrease secretion of
biolink:affects_mutation_rate_of_NEG || affects mutation rate of NEG || does not affect mutation rate of
biolink:increases_mutation_rate_of_NEG || increases mutation rate of NEG || does not cause increased mutation rate
biolink:increases_mutation_rate_of_NEG || increases mutation rate of NEG || does not increase mutation rate of
biolink:increases_mutagenesis_NEG || increases mutagenesis NEG || does not increase mutagenesis
biolink:increases_mutagenesis_NEG || increases mutagenesis NEG || does not cause increased mutation rate
biolink:decreases_mutation_rate_of_NEG || decreases mutation rate of NEG || does not decrease mutation rate of
biolink:decreases_mutation_rate_of_NEG || decreases mutation rate of NEG || does not cause decreased mutation rate
biolink:decreases_mutagenesis_NEG || decreases mutagenesis NEG || does not cause decreased mutation rate
biolink:decreases_mutagenesis_NEG || decreases mutagenesis NEG || does not decrease mutagenesis
biolink:affects_splicing_of_NEG || affects splicing of NEG || does not affect splicing of
biolink:increases_splicing_of_NEG || increases splicing of NEG || does not increase splicing of
biolink:increases_splicing_of_NEG || increases splicing of NEG || does not cause increased splicing
biolink:increases_RNA_splicing_NEG || increases RNA splicing NEG || does not increase RNA splicing
biolink:increases_RNA_splicing_NEG || increases RNA splicing NEG || does not cause increased splicing
biolink:decreases_splicing_of_NEG || decreases splicing of NEG || does not cause decreased splicing
biolink:decreases_splicing_of_NEG || decreases splicing of NEG || does not decrease splicing of
biolink:decreases_RNA_splicing_NEG || decreases RNA splicing NEG || does not cause decreased splicing
biolink:decreases_RNA_splicing_NEG || decreases RNA splicing NEG || does not decrease RNA splicing
biolink:affects_uptake_of_NEG || affects uptake of NEG || does not affect uptake of
biolink:increases_uptake_of_NEG || increases uptake of NEG || does not cause increased uptake
biolink:increases_uptake_of_NEG || increases uptake of NEG || does not increase uptake of
biolink:decreases_uptake_of_NEG || decreases uptake of NEG || does not cause decreased uptake
biolink:decreases_uptake_of_NEG || decreases uptake of NEG || does not decrease uptake of
biolink:affects_molecular_interaction_NEG || affects molecular interaction NEG || does not affect molecular interaction
biolink:increases_molecular_interaction_NEG || increases molecular interaction NEG || does not cause increased molecular interaction
biolink:increases_molecular_interaction_NEG || increases molecular interaction NEG || does not increase molecular interaction
biolink:decreases_molecular_interaction_NEG || decreases molecular interaction NEG || does not cause decreased molecular interaction
biolink:decreases_molecular_interaction_NEG || decreases molecular interaction NEG || does not decrease molecular interaction
biolink:entity_negatively_regulates_entity_NEG || entity negatively regulates entity NEG || p does not negatively regulate q iff p does not regulate q, and p does not decrease the rate or magnitude of execution of q.
biolink:entity_negatively_regulates_entity_NEG || entity negatively regulates entity NEG || does not molecularly decrease activity of
biolink:entity_negatively_regulates_entity_NEG || entity negatively regulates entity NEG || does not negatively regulate
biolink:entity_negatively_regulates_entity_NEG || entity negatively regulates entity NEG || does not directly negatively regulate activity of
biolink:entity_negatively_regulates_entity_NEG || entity negatively regulates entity NEG || The entity A, immediately upstream of the entity B, does not have an activity that negatively regulates an activity performed by B.  For example, A and B may be gene products and binding of B by A does not negatively regulate the kinase activity of B.
biolink:entity_positively_regulates_entity_NEG || entity positively regulates entity NEG || does not molecularly increase activity of
biolink:entity_positively_regulates_entity_NEG || entity positively regulates entity NEG || The entity A, immediately upstream of the entity B, does not have an activity that positively regulates an activity performed by B.  For example, A and B may be gene products and binding of B by A does not positively regulate the kinase activity of B.
biolink:entity_positively_regulates_entity_NEG || entity positively regulates entity NEG || does not directly positively regulate activity of
biolink:process_positively_regulates_process_NEG || process positively regulates process NEG || does not positively regulate
biolink:process_positively_regulates_process_NEG || process positively regulates process NEG || p does not positively regulate q iff p does not regulate q, and p does not increase the rate or magnitude of execution of q.
biolink:process_negatively_regulates_process_NEG || process negatively regulates process NEG || does not negatively regulate
biolink:process_negatively_regulates_process_NEG || process negatively regulates process NEG || p does not negatively regulate q iff p does not regulate q, and p does not decrease the rate or magnitude of execution of q.
biolink:related_to_at_concept_level_NEG || related to at concept level NEG || not related to at concept level
biolink:related_to_at_concept_level_NEG || related to at concept level NEG || Represents a relationship not held between terminology components that describe the conceptual model of a domain.
biolink:related_to_at_instance_level_NEG || related to at instance level NEG || Does not represent a relationship held between two instances of a data classes. Much like an assertion component, in an ABox, these do not represent facts associated with the conceptual model.
biolink:related_to_at_instance_level_NEG || related to at instance level NEG || not related to at instance level
biolink:disease_has_location_NEG || disease has location NEG || disease does not have location
biolink:disease_has_location_NEG || disease has location NEG || A relationship between a disease and an anatomical entity where the disease does not have one or more features that are located in that entity.
biolink:location_of_disease_NEG || location of disease NEG || not location of disease
biolink:composed_primarily_of_NEG || composed primarily of NEG || x is not composed_primarily_of_y if:more than half of the mass of x is not made from parts of y.
biolink:composed_primarily_of_NEG || composed primarily of NEG || is not composed primarily of
biolink:composed_primarily_of_NEG || composed primarily of NEG || x is not composed_primarily_of y if and only if more than half of the mass of x is not made from y or units of the same type as y.
biolink:primarily_composed_of_NEG || primarily composed of NEG || is not primarily composed of
biolink:associated_with_NEG || associated with NEG || is not associated with
biolink:associated_with_NEG || associated with NEG || Does not express a relationship between two named things where the relationship is typically generated statistically (though not in all cases), and is weaker than its child, 'correlated with', but stronger than its parent, 'related to'. This relationship does not hold between two concepts represented by variables for which a statistical dependence is demonstrated.  E.g. the statement “Atrial Fibrillation (Afib) is associated with Myocardial Infraction (MI)” does not assert that having Afib is not statistically independent from whether a patient will also have MI. Note that in Translator associations, the subject and object concepts may not map exactly to the statistical variables, or represent related entities for which the variables serve as proxies in an Association (e.g. diseases, chemical entities or processes).
biolink:associated_with_NEG || associated with NEG || disease does not have feature
biolink:associated_with_NEG || associated with NEG || A relationship between a disease and some feature of that disease, where the feature is not either a phenotype or an isolated disease.
biolink:opposite_of_NEG || opposite of NEG || x is not the opposite of y if there exists some distance metric M, and there exists no z such as M(x,z) <= M(x,y) or M(y,z) <= M(y,x).
biolink:opposite_of_NEG || opposite of NEG || not opposite of
biolink:opposite_of_NEG || opposite of NEG || x is not the opposite of y if there exists some distance metric M, and there exists no z such as M(x,z) <= M(x,y) or M(y,z) <= M(y,x). (This description is from RO. Needs to be rephrased).
biolink:opposite_of_NEG || opposite of NEG || is not opposite of
biolink:affects_likelihood_of_NEG || affects likelihood of NEG || does not affect likelihood of
biolink:affects_likelihood_of_NEG || affects likelihood of NEG || Holds between two entities where the presence or application of one does not alter the chance that the other will come to be.
biolink:likelihood_affected_by_NEG || likelihood affected by NEG || likelihood is not affected by
biolink:target_for_NEG || target for NEG || A gene is not a target of a disease when its products are druggable and when a drug interaction with the gene product could have a therapeutic effect
biolink:target_for_NEG || target for NEG || not a target for
biolink:has_target_NEG || has target NEG || does not have target
biolink:active_in_NEG || active in NEG || c does not execute activity in d if and only if c does not enable p and p does not occur_in d.  Assuming no action at a distance by gene products, if a gene product does not enable (is capable of) a process that occurs in some structure, it does not have at least some part in that structure.
biolink:active_in_NEG || active in NEG || is not active in
biolink:active_in_NEG || active in NEG || does not enable activity in
biolink:active_in_NEG || active in NEG || not active in
biolink:has_active_component_NEG || has active component NEG || does not have active component
biolink:acts_upstream_of_NEG || acts upstream of NEG || does not act upstream of
biolink:acts_upstream_of_NEG || acts upstream of NEG || c does not act upstream of p if and only if c does not enable some f that is involved in p' and p' does not occur chronologically before p, is not part of p, and does not affect the execution of p. c is not a material entity and f, p, p' are not processes.
biolink:has_upstream_actor_NEG || has upstream actor NEG || does not have upstream actor
biolink:mentions_NEG || mentions NEG || does not mention
biolink:mentions_NEG || mentions NEG || refers to is not a relation between one information content entity and the named thing that it makes reference to.
biolink:mentioned_by_NEG || mentioned by NEG || is not mentioned by
biolink:mentioned_by_NEG || mentioned by NEG || refers to is not a relation between one named thing and the information content entity that it makes reference to.
biolink:assesses_NEG || assesses NEG || The effect of a thing on a target was not interrogated in some assay. A relationship between some perturbing agent (usually a chemical compound) and some target entity, where the affect of the perturbing agent on the target entity was not interrogated in a particular assay. The target might not be a particular protein, tissue, phenotype, whole organism, cell line, or other type of biological entity.
biolink:assesses_NEG || assesses NEG || does not assess
biolink:is_assessed_by_NEG || is assessed by NEG || is not assessed by
biolink:interacts_with_NEG || interacts with NEG || does not hold between any two entities that directly or indirectly interact with each other
biolink:interacts_with_NEG || interacts with NEG || does not interact with
biolink:affects_NEG || affects NEG || p does not result in organization of c iff p does not result in the assembly, arrangement of constituent parts, or disassembly of c
biolink:affects_NEG || affects NEG || A relationship between a process and an anatomical entity such that the process does not contribute to the act of creating the structural organization of the anatomical entity.
biolink:affects_NEG || affects NEG || does not result in structural organization of
biolink:affects_NEG || affects NEG || c does not act upstream of or within p if c is not enables f, and f is not causally upstream of or within p. c is not a material entity and p is not an process.
biolink:affects_NEG || affects NEG || does not act upstream of or within
biolink:affects_NEG || affects NEG || does not act upstream of
biolink:affects_NEG || affects NEG || Describes an entity that does not have an effect on the state or quality of another existing entity.
biolink:affects_NEG || affects NEG || does not affect
biolink:affects_NEG || affects NEG || does not result in growth of
biolink:affects_NEG || affects NEG || does not result in remodeling of
biolink:affects_NEG || affects NEG || does not result in organization of
biolink:affects_NEG || affects NEG || p does not act on population of c iff c' is not a collection, has members of type c, and p has participant c
biolink:affects_NEG || affects NEG || c does not act upstream of p if and only if c does not enable some f that is involved in p' and p' does not occur chronologically before p, is not part of p, and does not affect the execution of p. c is not a material entity and f, p, p' are not processes.
biolink:affects_NEG || affects NEG || does not act on population of
biolink:affected_by_NEG || affected by NEG || is not affected by
biolink:affected_by_NEG || affected by NEG || describes an entity of which the state or quality is not affected by another existing entity.
biolink:diagnoses_NEG || diagnoses NEG || does not diagnose
biolink:diagnoses_NEG || diagnoses NEG || a relationship that does not identify the nature of (an illness or other problem) by examination of the symptoms.
biolink:is_diagnosed_by_NEG || is diagnosed by NEG || is not diagnosed by
biolink:gene_product_of_NEG || gene product of NEG || definition x does not have gene product of y if and only if y is not a gene (SO:0000704) that participates in some gene expression process (GO:0010467) where the output of thatf process is either y or something that is ribosomally translated from x
biolink:gene_product_of_NEG || gene product of NEG || is not a gene product of
biolink:has_gene_product_NEG || has gene product NEG || x does not have gene product y if and only if x is not a gene (SO:0000704) that participates in some gene expression process (GO:0010467) where the output of that process is either y or something that is ribosomally translated from y
biolink:has_gene_product_NEG || has gene product NEG || does not hold between a gene and a transcribed and/or translated product generated from it
biolink:has_gene_product_NEG || has gene product NEG || does not have gene product
biolink:transcribed_to_NEG || transcribed to NEG || not inverse of transcribed from
biolink:transcribed_to_NEG || transcribed to NEG || is not transcribed to
biolink:transcribed_from_NEG || transcribed from NEG || x is not transcribed from y if and only if x is not synthesized from template y
biolink:transcribed_from_NEG || transcribed from NEG || is not transcribed from
biolink:translates_to_NEG || translates to NEG || does not ribosomally translate to
biolink:translates_to_NEG || translates to NEG || x (amino acid chain/polypeptide) is not the ribosomal translation of y (transcript) if and only if a ribosome does not read y (transcript) through a series of triplet codon-amino acid adaptor activities (GO:0030533) and does not produce x (amino acid chain/polypeptide)
biolink:translates_to_NEG || translates to NEG || does not translate to
biolink:translates_to_NEG || translates to NEG || not inverse of ribosomal translation of
biolink:translation_of_NEG || translation of NEG || not ribosomal translation of
biolink:translation_of_NEG || translation of NEG || is not a translation of
biolink:translation_of_NEG || translation of NEG || x is not the ribosomal translation of y if and only if a ribosome does not read x through a series of triplet codon-amino acid adaptor activities (GO:0030533) and produces y
biolink:translation_of_NEG || translation of NEG || is not inverse of translates to
biolink:coexists_with_NEG || coexists with NEG || is not arterial supply of
biolink:coexists_with_NEG || coexists with NEG || does not drain into
biolink:coexists_with_NEG || coexists with NEG || does not have developmental stage
biolink:coexists_with_NEG || coexists with NEG || is not superomedial to
biolink:coexists_with_NEG || coexists with NEG || not immediately posterior to
biolink:coexists_with_NEG || coexists with NEG || does not transitively distally connect to
biolink:coexists_with_NEG || coexists with NEG || is not sexually homologous to
biolink:coexists_with_NEG || coexists with NEG || does not have axis
biolink:coexists_with_NEG || coexists with NEG || does not have development type
biolink:coexists_with_NEG || coexists with NEG || does not start axis
biolink:coexists_with_NEG || coexists with NEG || x is not adjacent to y if and only if x and y do not share a boundary.
biolink:coexists_with_NEG || coexists with NEG || x is not distal to y iff x is not further along the proximo-distal axis than y, towards the appendage tip. A proximo-distal axis does not extend from tip of an appendage (distal) to where it joins the body (proximal).
biolink:coexists_with_NEG || coexists with NEG || does not have observed anatomical entity
biolink:coexists_with_NEG || coexists with NEG || does not have continuation branch
biolink:coexists_with_NEG || coexists with NEG || x does not immediately anterior to y iff x is not anterior to y and x is not contiguous with y.
biolink:coexists_with_NEG || coexists with NEG || does not correspond to
biolink:coexists_with_NEG || coexists with NEG || not insertion of
biolink:coexists_with_NEG || coexists with NEG || is not inherent 3d shape of
biolink:coexists_with_NEG || coexists with NEG || does not have segmental supply of
biolink:coexists_with_NEG || coexists with NEG || not left of
biolink:coexists_with_NEG || coexists with NEG || does not form
biolink:coexists_with_NEG || coexists with NEG || does not project from
biolink:coexists_with_NEG || coexists with NEG || not anteroinferior to
biolink:coexists_with_NEG || coexists with NEG || is not posterosuperior to
biolink:coexists_with_NEG || coexists with NEG || not posteriorly connected to
biolink:coexists_with_NEG || coexists with NEG || does not fuse with
biolink:coexists_with_NEG || coexists with NEG || does not receive drainage from
biolink:coexists_with_NEG || coexists with NEG || not superolateral to
biolink:coexists_with_NEG || coexists with NEG || not fusion of
biolink:coexists_with_NEG || coexists with NEG || not medial to
biolink:coexists_with_NEG || coexists with NEG || does not have branch
biolink:coexists_with_NEG || coexists with NEG || not proximal to
biolink:coexists_with_NEG || coexists with NEG || X does not extend_fibers into Y iff there does not exist some neuron (N) and N does not have_soma_location X and N 'does not have synaptic IO in region' some Y
biolink:coexists_with_NEG || coexists with NEG || does not anastomose with
biolink:coexists_with_NEG || coexists with NEG || does not direct right of
biolink:coexists_with_NEG || coexists with NEG || is not a continuation branch of
biolink:coexists_with_NEG || coexists with NEG || x is not surrounded_by y if and only if (1) x is not adjacent to y and for every region r that is adjacent to x, r does not overlap y (2) the shared boundary between x and y does not occupy the majority of the outermost boundary of x
biolink:coexists_with_NEG || coexists with NEG || is not anteriorly connected to
biolink:coexists_with_NEG || coexists with NEG || not anterosuperior to
biolink:coexists_with_NEG || coexists with NEG || not inferolateral to
biolink:coexists_with_NEG || coexists with NEG || not direct left of
biolink:coexists_with_NEG || coexists with NEG || does not have insertion
biolink:coexists_with_NEG || coexists with NEG || not internal to
biolink:coexists_with_NEG || coexists with NEG || does not extend fibers into
biolink:coexists_with_NEG || coexists with NEG || Does not cross at an angle that is 90 degrees, or close to 90 degrees. In any non-linear organism, the main axes are rarely perpendicular when taken through the organism as a whole.
biolink:coexists_with_NEG || coexists with NEG || not posterolateral to
biolink:coexists_with_NEG || coexists with NEG || not posteromedial to
biolink:coexists_with_NEG || coexists with NEG || placeholder. used for relation between anatomical surface and an anatomical side.
biolink:coexists_with_NEG || coexists with NEG || not proximally connected to
biolink:coexists_with_NEG || coexists with NEG || not secondary segmental supply of
biolink:coexists_with_NEG || coexists with NEG || is not a tributary of
biolink:coexists_with_NEG || coexists with NEG || is not a branch of
biolink:coexists_with_NEG || coexists with NEG || x is not ventral to y iff x is not further along the dorso-ventral axis than y, towards the front. A dorso-ventral axis is not an axis that extends through an organism from back (e.g. spinal column) to front (e.g. belly).
biolink:coexists_with_NEG || coexists with NEG || does not have origin
biolink:coexists_with_NEG || coexists with NEG || does not send output to
biolink:coexists_with_NEG || coexists with NEG || not anterolateral to
biolink:coexists_with_NEG || coexists with NEG || is not immediately anterior to
biolink:coexists_with_NEG || coexists with NEG || A directional axis cannot be divided by a plane. Following Allen Interval Algebra terminology we say that the side on which the axis initiates does not start the axis, with the other side not finishing the axis. If s does not finish axis x, and x does not have end point p, then x does not overlap p
biolink:coexists_with_NEG || coexists with NEG || not afferent to
biolink:coexists_with_NEG || coexists with NEG || is not left medial to
biolink:coexists_with_NEG || coexists with NEG || does not have secondary segmental supply
biolink:coexists_with_NEG || coexists with NEG || not ventral to
biolink:coexists_with_NEG || coexists with NEG || does not receive input from
biolink:coexists_with_NEG || coexists with NEG || not in outermost side of
biolink:coexists_with_NEG || coexists with NEG || does not channel_into
biolink:coexists_with_NEG || coexists with NEG || does not have projection
biolink:coexists_with_NEG || coexists with NEG || not dorsal to
biolink:coexists_with_NEG || coexists with NEG || x is not dorsal to y iff x is not further along the dorso-ventral axis than y, towards the back. A dorso-ventral axis is not an axis that extends through an organism from back (e.g. spinal column) to front (e.g. belly).
biolink:coexists_with_NEG || coexists with NEG || not external to
biolink:coexists_with_NEG || coexists with NEG || does not coexist with
biolink:coexists_with_NEG || coexists with NEG || not right lateral to
biolink:coexists_with_NEG || coexists with NEG || does not channel from
biolink:coexists_with_NEG || coexists with NEG || does not pass through
biolink:coexists_with_NEG || coexists with NEG || does not indirectly supply
biolink:coexists_with_NEG || coexists with NEG || does not follow axis
biolink:coexists_with_NEG || coexists with NEG || does not have connection type
biolink:coexists_with_NEG || coexists with NEG || not anteromedial to
biolink:coexists_with_NEG || coexists with NEG || does not indirectly_supply
biolink:coexists_with_NEG || coexists with NEG || Not closer to the left side of the organism. Example: The dorsal fin is not right of the left pectoral fin, but is not left of the right eye. On the type level: X not left of Y <=> every instance x of X is not left of some instance y of Y, and there exists some organism o such that x part of o and y part of o.
biolink:coexists_with_NEG || coexists with NEG || x is not proximal to y iff x is not closer to the point of attachment with the body than y.
biolink:coexists_with_NEG || coexists with NEG || does not have lymphatic drainage
biolink:coexists_with_NEG || coexists with NEG || does not merge with
biolink:coexists_with_NEG || coexists with NEG || not inverse of surrounded by
biolink:coexists_with_NEG || coexists with NEG || is not continuous distally with
biolink:coexists_with_NEG || coexists with NEG || is not a connection type of
biolink:coexists_with_NEG || coexists with NEG || is not the origin of
biolink:coexists_with_NEG || coexists with NEG || not inferomedial to
biolink:coexists_with_NEG || coexists with NEG || does not have fusion
biolink:coexists_with_NEG || coexists with NEG || does not protect
biolink:coexists_with_NEG || coexists with NEG || is not approximately perpendicular to
biolink:coexists_with_NEG || coexists with NEG || not related part
biolink:coexists_with_NEG || coexists with NEG || is not synapsed by
biolink:coexists_with_NEG || coexists with NEG || not posteroinferior to
biolink:coexists_with_NEG || coexists with NEG || does not have direct cell shape
biolink:coexists_with_NEG || coexists with NEG || does not have segmental composition
biolink:coexists_with_NEG || coexists with NEG || does not have full grown phenotype
biolink:coexists_with_NEG || coexists with NEG || does not project to
biolink:coexists_with_NEG || coexists with NEG || does not transitively proximally connect to
biolink:coexists_with_NEG || coexists with NEG || existence does not start and end during
biolink:coexists_with_NEG || coexists with NEG || not efferent to
biolink:coexists_with_NEG || coexists with NEG || not a channel for
biolink:coexists_with_NEG || coexists with NEG || does not have venous drainage
biolink:coexists_with_NEG || coexists with NEG || not opposite to
biolink:coexists_with_NEG || coexists with NEG || does not articulate with
biolink:coexists_with_NEG || coexists with NEG || is not orthogonal to
biolink:coexists_with_NEG || coexists with NEG || is not bounded by
biolink:coexists_with_NEG || coexists with NEG || x does not immediately posterior to y iff x is not posterior_to y and x is not contiguous with y.
biolink:coexists_with_NEG || coexists with NEG || Relationship between a fluid and a filtration barrier, where the portion of fluid does not arise as a transformation of another portion of fluid on the other side of the barrier, with larger particles not removed
biolink:coexists_with_NEG || coexists with NEG || does not channel into
biolink:coexists_with_NEG || coexists with NEG || not adjacent to
biolink:coexists_with_NEG || coexists with NEG || is not distally connected to
biolink:coexists_with_NEG || coexists with NEG || not caudal to
biolink:coexists_with_NEG || coexists with NEG || not transitively_connected to
biolink:coexists_with_NEG || coexists with NEG || is not a developmental stage of
biolink:coexists_with_NEG || coexists with NEG || not parallel to
biolink:coexists_with_NEG || coexists with NEG || does not have adherent
biolink:coexists_with_NEG || coexists with NEG || does not receive attachment from
biolink:coexists_with_NEG || coexists with NEG || does not direct cell shape of
biolink:coexists_with_NEG || coexists with NEG || does not have tributary
biolink:coexists_with_NEG || coexists with NEG || does not intersect at two points.
biolink:coexists_with_NEG || coexists with NEG || does not bound
biolink:coexists_with_NEG || coexists with NEG || does not have regional part
biolink:coexists_with_NEG || coexists with NEG || does not hold between two entities that are co-located in the same aggregate object, process, or spatio-temporal region
biolink:coexists_with_NEG || coexists with NEG || is not nerve supply of
biolink:coexists_with_NEG || coexists with NEG || does not have arterial supply
biolink:coexists_with_NEG || coexists with NEG || is not germ origin of
biolink:coexists_with_NEG || coexists with NEG || does not have related developmental entity
biolink:coexists_with_NEG || coexists with NEG || does not have segmental supply
biolink:coexists_with_NEG || coexists with NEG || not left lateral to
biolink:coexists_with_NEG || coexists with NEG || not in central side of
biolink:coexists_with_NEG || coexists with NEG || x is not anterior to y iff x is not further along the antero-posterior axis than y, towards the head. An antero-posterior axis is not an axis that extends through an organism from head end to opposite end of body or tail.
biolink:coexists_with_NEG || coexists with NEG || does not mature from
biolink:coexists_with_NEG || coexists with NEG || not anterior to
biolink:coexists_with_NEG || coexists with NEG || not distal to
biolink:coexists_with_NEG || coexists with NEG || does not have inherent 3d shape
biolink:coexists_with_NEG || coexists with NEG || not crossing at right angles
biolink:coexists_with_NEG || coexists with NEG || x is not posterior to y iff x is not further along the antero-posterior axis than y, towards the body/tail. An antero-posterior axis is not an axis that extends through an organism from head end to opposite end of body or tail.
biolink:coexists_with_NEG || coexists with NEG || A directional axis cannot be divided by a plane. Following Allen Interval Algebra terminology we say that the side on which the axis initiates does not start the axis, with the other side not finishing the axis. . If s does not start axis x, and x does not have start point p, then x does not overlap p
biolink:coexists_with_NEG || coexists with NEG || x does not anteriorly_connected_to y iff the anterior part of x is not connected to y. i.e. x is not connected_to y and x is not posterior_to y.
biolink:coexists_with_NEG || coexists with NEG || does not surround
biolink:coexists_with_NEG || coexists with NEG || does not receive projection
biolink:coexists_with_NEG || coexists with NEG || does not attach to
biolink:coexists_with_NEG || coexists with NEG || is not immediately superficial to
biolink:coexists_with_NEG || coexists with NEG || does not have germ origin
biolink:coexists_with_NEG || coexists with NEG || not a conduit for
biolink:coexists_with_NEG || coexists with NEG || x does not posteriorly_connected_to y iff the posterior part of x is not connected to y. i.e. x is not connected_to y and x is not anterior_to y.
biolink:coexists_with_NEG || coexists with NEG || Not directly opposite to. i.e. not on the opposite side through the axis.
biolink:coexists_with_NEG || coexists with NEG || does not extend_fibers_into
biolink:coexists_with_NEG || coexists with NEG || is not segmental composition of
biolink:coexists_with_NEG || coexists with NEG || is not surrounded by
biolink:coexists_with_NEG || coexists with NEG || is not formed by
biolink:coexists_with_NEG || coexists with NEG || does not have nerve supply
biolink:coexists_with_NEG || coexists with NEG || Relationship between a fluid and a material entity, where the fluid is not the output of a realization of a filtration role that inheres in the material entity.
biolink:coexists_with_NEG || coexists with NEG || does not finish axis
biolink:coexists_with_NEG || coexists with NEG || x does not distally_connected_to y iff the distal part of x is not connected to y. i.e. x not connected_to y and x not proximal_to y.
biolink:coexists_with_NEG || coexists with NEG || is not development type of
biolink:coexists_with_NEG || coexists with NEG || a does not indirectly_supplies s iff a does not have a branch and the branch does not supplies or does not indirectly supplies s.
biolink:coexists_with_NEG || coexists with NEG || x does not proximally_connected_to y iff the proximal part of x is not connected to y. i.e. x is not connected_to y and x is not distal_to y.
biolink:coexists_with_NEG || coexists with NEG || does not channel_from
biolink:coexists_with_NEG || coexists with NEG || does not transitively anteriorly connect to
biolink:coexists_with_NEG || coexists with NEG || not inferior to
biolink:coexists_with_NEG || coexists with NEG || is not primary segmental supply of
biolink:coexists_with_NEG || coexists with NEG || The elbow is not proximal to the hand, but not distal to the shoulder.
biolink:coexists_with_NEG || coexists with NEG || not right medial to
biolink:coexists_with_NEG || coexists with NEG || is not venous drainage of
biolink:coexists_with_NEG || coexists with NEG || is not filtered through
biolink:coexists_with_NEG || coexists with NEG || x does not immediately superficial to y iff x is not superficial to y and x is not contiguous with y.
biolink:coexists_with_NEG || coexists with NEG || does not mature into
biolink:coexists_with_NEG || coexists with NEG || not in innermost side of
biolink:coexists_with_NEG || coexists with NEG || not surface of
biolink:coexists_with_NEG || coexists with NEG || does not have primary segmental supply
biolink:coexists_with_NEG || coexists with NEG || is not lymphatic drainage of
biolink:coexists_with_NEG || coexists with NEG || is not a full grown phenotype of
biolink:coexists_with_NEG || coexists with NEG || not posterior to
biolink:coexists_with_NEG || coexists with NEG || is not continuous proximally with
biolink:coexists_with_NEG || coexists with NEG || not superior to
biolink:coexists_with_NEG || coexists with NEG || not lateral to
biolink:coexists_with_NEG || coexists with NEG || does not carry
biolink:contributes_to_NEG || contributes to NEG || does not developmentally contribute to
biolink:contributes_to_NEG || contributes to NEG || does not contribute to condition
biolink:contributes_to_NEG || contributes to NEG || does not hold between two entities where the occurrence, existence, or activity of one contributes to the occurrence or generation of the other
biolink:contributes_to_NEG || contributes to NEG || not inverse of has developmental contribution from
biolink:contributes_to_NEG || contributes to NEG || does not predispose towards
biolink:contributes_to_NEG || contributes to NEG || A relationship between an entity (e.g. a genotype, genetic variation, chemical, or environmental exposure) and a condition (a phenotype or disease), where the entity does not have some contributing role that influences the condition.
biolink:contributes_to_NEG || contributes to NEG || does not contribute to
biolink:contribution_from_NEG || contribution from NEG || does not contribution from
biolink:promotes_condition_NEG || promotes condition NEG || Holds between a substance, procedure, or activity and a medical condition (disease or phenotypic feature), and states that the substance, procedure, or activity is not able to promote it manifesting in the first place.
biolink:promotes_condition_NEG || promotes condition NEG || does not promote condition
biolink:studied_to_treat_NEG || studied to treat NEG || not studied to treat
biolink:studied_to_treat_NEG || studied to treat NEG || Does not hold between an  substance, procedure, or activity and a medical condition, and reports that one or more scientific study has not been performed to specifically test the potential of the  substance, procedure, or activity to treat the medical condition  (i.e. to ameliorate, stabilize, or cure the condition, or to delay, prevent, or reduce the risk of it manifesting in the first place).
biolink:applied_to_treat_NEG || applied to treat NEG || Does not hold between an  substance, procedure, or activity and a medical condition, and does not report that the  substance, procedure, or activity was actually taken by one or more patients with the intent of treating the condition.
biolink:applied_to_treat_NEG || applied to treat NEG || not applied to treat
biolink:treatment_applications_from_NEG || treatment applications from NEG || treatment applications do not from
biolink:treats_or_applied_or_studied_to_treat_NEG || treats or applied or studied to treat NEG || does not treat or applied or studied to treat
biolink:treats_or_applied_or_studied_to_treat_NEG || treats or applied or studied to treat NEG || Does not hold between an substance, procedure, or activity and a medical condition (disease or phenotypic feature), and states that the substance, procedure, or activity is not able to treat the condition, has not been observed to be taken/prescribed in practice with the intent of treating the condition, or has not been interrogated in a scientific study that hypothesized an ability to treat the condition (in humans or other biological systems/organisms).
biolink:subject_of_treatment_application_or_study_for_treatment_by_NEG || subject of treatment application or study for treatment by NEG || not subject of treatment application or study for treatment by
biolink:has_phenotype_NEG || has phenotype NEG || disease does not have basis in feature
